timestamp,Inverter1_System State,Inverter1_Active Output Power [W],Inverter1_Reactive Output Power [kVAr],Inverter1_Active PCC Power [W],Inverter1_Reactive PCC Power [kVAr],Inverter1_Voltage DC1 [V],Inverter1_Current DC1 [A],Inverter1_Power DC1 [W],Inverter1_Voltage DC2 [V],Inverter1_Current DC2 [A],Inverter1_Power DC2 [W],Inverter1_Charge/Discharge Power [kW],Inverter1_Battery SOC [%]
2025-10-09 16:19:28,2.0,4.4,0.0,4.41,0.0,1.0,0.0,0.0,353.20000000000005,1.69,0.16,0.0,47.0
2025-10-09 16:19:31,2.0,-0.04,0.0,-0.09,0.0,0.9,0.0,0.0,99.7,0.05,0.0,0.0,47.0
2025-10-09 16:19:33,2.0,0.38,0.0,0.32,0.0,1.0,0.01,0.0,95.9,5.21,0.5,0.0,47.0
2025-10-09 16:19:35,2.0,0.66,0.0,0.44,0.0,1.0,0.0,0.0,94.80000000000001,6.67,0.63,0.0,47.0
2025-10-09 16:19:37,2.0,0.78,0.0,0.87,0.0,1.0,0.0,0.0,91.4,11.16,1.02,0.0,47.0
2025-10-09 16:19:39,2.0,0.99,0.0,0.93,0.0,1.0,0.0,0.0,86.80000000000001,13.39,1.16,0.0,47.0
2025-10-09 16:19:41,2.0,1.09,0.0,1.03,0.0,1.0,0.0,0.0,86.7,13.41,1.16,0.0,47.0
2025-10-09 16:19:43,2.0,1.08,0.0,1.01,0.0,1.0,0.0,0.0,83.7,13.15,1.16,0.0,47.0
2025-10-09 16:19:45,2.0,1.1400000000000001,0.0,1.08,0.0,1.0,0.0,0.0,92.7,13.290000000000001,1.23,0.0,47.0
2025-10-09 16:19:47,2.0,1.1300000000000001,0.0,1.07,0.0,1.0,0.0,0.0,92.60000000000001,13.27,1.23,0.0,47.0
2025-10-09 16:19:49,2.0,1.1300000000000001,0.0,1.06,0.0,1.0,0.02,0.0,95.4,13.27,1.23,0.0,47.0
2025-10-09 16:19:51,2.0,1.17,0.0,1.11,0.0,1.0,0.0,0.0,89.7,13.75,1.23,0.0,47.0
2025-10-09 16:19:52,2.0,1.11,0.0,1.05,0.0,1.0,0.0,0.0,92.60000000000001,13.65,1.26,0.0,47.0
2025-10-09 16:19:54,2.0,1.2,0.0,1.1300000000000001,0.0,1.0,0.0,0.0,95.60000000000001,13.47,1.28,0.0,47.0
2025-10-09 16:19:55,2.0,1.1300000000000001,0.0,1.06,0.0,1.0,0.0,0.0,95.60000000000001,13.72,1.31,0.0,47.0
2025-10-09 16:19:57,2.0,1.19,0.0,1.1300000000000001,0.0,1.0,0.01,0.0,98.7,13.57,1.34,0.0,47.0
2025-10-09 16:19:59,2.0,1.16,0.0,1.1,0.0,1.0,0.0,0.0,98.60000000000001,13.58,1.33,0.0,47.0
2025-10-09 16:20:01,2.0,1.26,0.0,1.2,0.0,1.0,0.0,0.0,98.60000000000001,13.76,1.35,0.0,47.0
2025-10-09 16:20:02,2.0,1.23,0.0,1.27,0.0,0.9,0.01,0.0,107.60000000000001,13.25,1.42,0.0,47.0
2025-10-09 16:20:04,2.0,1.32,0.0,1.26,0.0,1.0,0.0,0.0,101.7,13.67,1.3900000000000001,0.0,47.0
2025-10-09 16:20:06,2.0,1.36,0.0,1.27,0.0,0.9,0.0,0.0,113.80000000000001,13.08,1.48,0.0,47.0
2025-10-09 16:20:07,2.0,1.36,0.0,1.29,0.0,0.9,0.0,0.0,107.7,13.6,1.46,0.0,47.0
2025-10-09 16:20:09,2.0,1.22,0.0,1.1500000000000001,0.0,0.9,0.01,0.0,116.5,11.74,1.36,0.0,47.0
2025-10-09 16:20:10,2.0,1.32,0.0,1.26,0.0,0.9,0.0,0.0,107.80000000000001,13.76,1.48,0.0,47.0
2025-10-09 16:20:12,2.0,1.25,0.0,1.19,0.0,1.0,0.0,0.0,101.80000000000001,13.89,1.48,0.0,47.0
