timestamp,Inverter1_System State,Inverter1_Active Output Power [W],Inverter1_Reactive Output Power [kVAr],Inverter1_Apparent Output Power [kVA],Inverter1_Active PCC Power [W],Inverter1_Reactive PCC Power [kVAr],Inverter1_Apparent PCC Power [kVA],Inverter1_Voltage DC1 [V],Inverter1_Current DC1 [A],Inverter1_Power DC1 [W],Inverter1_Voltage DC2 [V],Inverter1_Current DC2 [A],Inverter1_Power DC2 [W],Inverter1_Charge/Discharge Power [kW],Inverter1_Battery SOC [%]
2025-11-14 14:34:12,2.0,0.1,0.0,0.0,-0.09,0.0,0.0,188.0,0.61,0.11,180.9,0.86,0.15,0.0,0.0
2025-11-14 14:34:15,2.0,0.1,0.0,0.0,-0.25,0.0,0.0,182.9,0.07,0.01,183.0,25.16,4.6000000000000005,0.0,0.0
2025-11-14 14:34:17,2.0,4.3100000000000005,0.08,0.0,-4.21,0.0,0.0,199.8,23.900000000000002,4.44,185.8,24.72,4.5600000000000005,0.0,0.0
2025-11-14 14:34:21,2.0,8.44,0.09,0.0,-8.39,0.0,0.0,185.10000000000002,24.05,4.44,185.3,24.37,4.51,0.0,0.0
2025-11-14 14:34:23,2.0,8.63,0.1,0.0,-8.69,0.0,0.0,184.5,24.01,4.42,184.20000000000002,24.47,4.5,0.0,0.0
2025-11-14 14:34:25,2.0,8.69,0.1,0.0,-8.52,0.0,0.0,183.70000000000002,24.48,4.49,183.4,24.86,4.55,0.0,0.0
2025-11-14 14:34:26,2.0,8.44,0.1,0.0,-8.540000000000001,0.0,0.0,186.70000000000002,23.09,4.3,187.0,23.59,4.37,0.0,0.0
2025-11-14 14:34:28,2.0,8.42,0.1,0.0,-8.45,0.0,0.0,182.20000000000002,25.34,4.61,181.9,25.54,4.64,0.0,0.0
2025-11-14 14:34:30,2.0,8.74,0.1,0.0,-8.23,0.0,0.0,188.10000000000002,22.53,4.23,188.4,23.22,4.37,0.0,0.0
2025-11-14 14:34:32,2.0,8.44,0.09,0.0,-8.52,0.0,0.0,181.10000000000002,25.55,4.62,181.0,25.63,4.64,0.0,0.0
2025-11-14 14:34:35,2.0,8.53,0.1,0.0,-8.33,0.0,0.0,188.3,22.52,4.23,188.3,23.29,4.36,0.0,0.0
2025-11-14 14:34:38,2.0,8.43,0.09,0.0,-8.53,0.0,0.0,182.5,25.27,4.61,182.70000000000002,25.39,4.63,0.0,0.0
2025-11-14 14:34:41,2.0,8.49,0.09,0.0,-8.43,0.0,0.0,183.20000000000002,23.06,4.28,186.20000000000002,23.66,4.39,0.0,0.0
2025-11-14 14:34:43,2.0,8.43,0.09,0.0,-8.63,0.0,0.0,184.0,24.67,4.53,184.20000000000002,24.87,4.57,0.0,0.0
2025-11-14 14:34:45,2.0,8.45,0.09,0.0,-8.32,0.0,0.0,184.9,23.79,4.39,184.60000000000002,24.27,4.47,0.0,0.0
2025-11-14 14:34:48,2.0,8.81,0.1,0.0,-8.39,0.0,0.0,186.3,23.31,4.33,186.60000000000002,23.76,4.42,0.0,0.0
2025-11-14 14:34:50,2.0,8.43,0.09,0.0,-8.59,0.0,0.0,187.0,22.88,4.2700000000000005,187.4,23.400000000000002,4.37,0.0,0.0
2025-11-14 14:34:52,2.0,8.44,0.09,0.0,-8.01,0.0,0.0,181.9,25.45,4.63,181.5,25.6,4.64,0.0,0.0
2025-11-14 14:34:55,2.0,8.52,0.1,0.0,-8.23,0.0,0.0,188.3,22.490000000000002,4.23,188.5,23.2,4.37,0.0,0.0
2025-11-14 14:34:57,2.0,8.43,0.09,0.0,-8.58,0.0,0.0,181.60000000000002,25.51,4.63,181.60000000000002,25.57,4.64,0.0,0.0
2025-11-14 14:35:01,2.0,8.540000000000001,0.09,0.0,-8.39,0.0,0.0,188.0,22.54,4.23,188.0,23.240000000000002,4.36,0.0,0.0
2025-11-14 14:35:03,2.0,8.43,0.09,0.0,-8.58,0.0,0.0,182.20000000000002,25.37,4.62,183.0,25.26,4.62,0.0,0.0
2025-11-14 14:35:05,2.0,8.66,0.1,0.0,-8.64,0.0,0.0,186.0,23.22,4.3100000000000005,185.8,23.79,4.41,0.0,0.0
2025-11-14 14:35:09,2.0,8.42,0.09,0.0,-8.65,0.0,0.0,185.10000000000002,24.05,4.44,185.3,24.45,4.49,0.0,0.0
2025-11-14 14:35:12,2.0,8.67,0.1,0.0,-8.14,0.0,0.0,183.70000000000002,24.48,4.49,183.4,24.84,4.55,0.0,0.0
2025-11-14 14:35:14,2.0,8.44,0.09,0.0,-8.47,0.0,0.0,186.9,23.13,4.3100000000000005,187.20000000000002,23.6,4.41,0.0,0.0
2025-11-14 14:35:16,2.0,8.52,0.09,0.0,-8.64,0.0,0.0,189.4,24.990000000000002,4.73,189.5,11.72,2.33,0.0,0.0
2025-11-14 14:35:19,2.0,-0.13,0.0,0.0,-7.92,0.0,0.0,192.0,21.54,4.26,189.20000000000002,25.580000000000002,4.84,0.0,0.0
2025-11-14 14:35:25,2.0,3.7800000000000002,0.04,0.0,-5.5600000000000005,0.0,0.0,195.70000000000002,25.52,4.99,198.70000000000002,24.48,4.8500000000000005,0.0,0.0
2025-11-14 14:35:29,2.0,9.43,0.1,0.0,-9.32,0.0,0.0,199.70000000000002,25.22,5.03,200.60000000000002,25.54,5.12,0.0,0.0
2025-11-14 14:35:31,2.0,9.64,0.1,0.0,-8.14,0.0,0.0,198.20000000000002,25.57,5.0600000000000005,216.5,9.8,2.12,0.0,0.0
2025-11-14 14:35:33,2.0,7.2,0.08,0.0,-6.69,0.0,0.0,203.0,25.26,5.12,217.0,8.9,1.93,0.0,0.0
2025-11-14 14:35:35,2.0,6.7,0.1,0.0,-6.79,0.0,0.0,204.3,25.45,5.28,216.8,19.740000000000002,4.28,0.0,0.0
2025-11-14 14:35:37,2.0,9.14,0.1,0.0,-9.17,0.0,0.0,212.8,24.060000000000002,5.11,216.20000000000002,20.96,4.53,0.0,0.0
2025-11-14 14:35:39,2.0,9.370000000000001,0.1,0.0,-9.41,0.0,0.0,208.9,25.16,5.25,216.0,25.2,5.44,0.0,0.0
2025-11-14 14:35:42,2.0,10.43,0.11,0.0,-10.17,0.0,0.0,215.3,25.5,5.49,214.0,25.62,5.48,0.0,0.0
2025-11-14 14:35:46,2.0,10.46,0.11,0.0,-10.43,0.0,0.0,224.3,22.32,5.0,213.5,25.63,5.47,0.0,0.0
2025-11-14 14:35:49,2.0,10.290000000000001,0.11,0.0,-10.36,0.0,0.0,224.10000000000002,22.86,5.12,213.0,25.63,5.46,0.0,0.0
2025-11-14 14:35:51,2.0,10.31,0.11,0.0,-10.25,0.0,0.0,222.0,25.34,5.62,212.0,25.73,5.45,0.0,0.0
2025-11-14 14:35:55,2.0,10.51,0.11,0.0,-10.47,0.0,0.0,228.9,24.060000000000002,5.63,234.8,24.060000000000002,5.65,0.0,0.0
2025-11-14 14:35:57,2.0,10.85,0.12,0.0,-10.73,0.0,0.0,233.9,24.12,5.64,234.70000000000002,24.12,5.66,0.0,0.0
2025-11-14 14:35:59,2.0,10.870000000000001,0.12,0.0,-10.72,0.0,0.0,233.9,24.11,5.63,240.0,23.57,5.65,0.0,0.0
2025-11-14 14:36:01,2.0,10.870000000000001,0.12,0.0,-10.74,0.0,0.0,239.20000000000002,23.59,5.64,240.10000000000002,23.59,5.66,0.0,0.0
2025-11-14 14:36:04,2.0,10.88,0.12,0.0,-10.74,0.0,0.0,239.20000000000002,23.580000000000002,5.63,245.3,23.06,5.65,0.0,0.0
2025-11-14 14:36:06,2.0,10.870000000000001,0.12,0.0,-10.72,0.0,0.0,244.60000000000002,23.04,5.63,245.4,23.04,5.65,0.0,0.0
2025-11-14 14:36:08,2.0,10.86,0.12,0.0,-10.73,0.0,0.0,244.60000000000002,23.06,5.64,245.4,23.04,5.65,0.0,0.0
2025-11-14 14:36:10,2.0,10.870000000000001,0.12,0.0,-10.73,0.0,0.0,249.8,22.580000000000002,5.64,250.70000000000002,22.580000000000002,5.66,0.0,0.0
2025-11-14 14:36:13,2.0,10.88,0.12,0.0,-10.74,0.0,0.0,249.8,22.59,5.64,250.70000000000002,22.59,5.66,0.0,0.0
2025-11-14 14:36:15,2.0,10.89,0.12,0.0,-10.74,0.0,0.0,255.0,22.12,5.64,255.8,22.12,5.66,0.0,0.0
