timestamp,Inverter1_System State,Inverter1_Active Output Power [W],Inverter1_Reactive Output Power [kVAr],Inverter1_Apparent Output Power [kVA],Inverter1_Active PCC Power [W],Inverter1_Reactive PCC Power [kVAr],Inverter1_Apparent PCC Power [kVA],Inverter1_Voltage DC1 [V],Inverter1_Current DC1 [A],Inverter1_Power DC1 [W],Inverter1_Voltage DC2 [V],Inverter1_Current DC2 [A],Inverter1_Power DC2 [W],Inverter1_Charge/Discharge Power [kW],Inverter1_Battery SOC [%]
2025-11-14 14:17:06,2.0,0.09,0.0,0.0,-0.11,0.0,0.0,188.5,0.6,0.11,188.5,0.53,0.09,0.0,0.0
2025-11-14 14:17:09,2.0,0.08,0.0,0.0,-0.14,0.0,0.0,198.3,1.6400000000000001,0.32,182.60000000000002,0.79,0.14,0.0,0.0
2025-11-14 14:17:12,2.0,-0.01,0.0,0.0,-0.02,0.0,0.0,198.0,23.1,4.3100000000000005,186.0,0.75,0.13,0.0,0.0
2025-11-14 14:17:14,2.0,4.3100000000000005,0.07,0.0,-4.21,0.0,0.0,186.0,23.19,4.3,185.10000000000002,0.8,0.14,0.0,0.0
2025-11-14 14:17:17,2.0,4.24,0.07,0.0,-4.2700000000000005,0.0,0.0,185.10000000000002,24.02,4.44,186.4,0.74,0.13,0.0,0.0
2025-11-14 14:17:19,2.0,4.46,0.08,0.0,-4.2,0.0,0.0,184.5,24.0,4.41,183.10000000000002,0.65,0.12,0.0,0.0
2025-11-14 14:17:23,2.0,4.24,0.07,0.0,-4.23,0.0,0.0,182.9,25.310000000000002,4.61,180.9,0.96,0.17,0.0,0.0
2025-11-14 14:17:26,2.0,4.24,0.07,0.0,-4.3100000000000005,0.0,0.0,188.10000000000002,22.52,4.23,188.60000000000002,0.63,0.11,0.0,0.0
2025-11-14 14:17:28,2.0,4.24,0.07,0.0,-4.38,0.0,0.0,181.10000000000002,25.53,4.62,181.0,0.96,0.17,0.0,0.0
2025-11-14 14:17:31,2.0,4.25,0.07,0.0,-4.28,0.0,0.0,188.3,22.490000000000002,4.23,188.3,0.64,0.12,0.0,0.0
2025-11-14 14:17:33,2.0,4.23,0.07,0.0,-4.41,0.0,0.0,181.9,25.43,4.62,182.10000000000002,0.91,0.16,0.0,0.0
2025-11-14 14:17:35,2.0,4.24,0.07,0.0,-4.2,0.0,0.0,182.5,25.240000000000002,4.6000000000000005,183.10000000000002,0.87,0.15,0.0,0.0
2025-11-14 14:17:36,2.0,4.49,0.08,0.0,-4.2700000000000005,0.0,0.0,187.0,22.78,4.25,186.5,0.72,0.13,0.0,0.0
2025-11-14 14:17:38,2.0,4.23,0.07,0.0,-4.38,0.0,0.0,184.0,24.650000000000002,4.53,185.0,0.79,0.14,0.0,0.0
