timestamp,Inverter1_System State,Inverter1_Active Output Power [W],Inverter1_Reactive Output Power [kVAr],Inverter1_Apparent Output Power [kVA],Inverter1_Active PCC Power [W],Inverter1_Reactive PCC Power [kVAr],Inverter1_Apparent PCC Power [kVA],Inverter1_Voltage DC1 [V],Inverter1_Current DC1 [A],Inverter1_Power DC1 [W],Inverter1_Voltage DC2 [V],Inverter1_Current DC2 [A],Inverter1_Power DC2 [W],Inverter1_Charge/Discharge Power [kW],Inverter1_Battery SOC [%],Inverter1_External Power [kW]
2025-11-11 11:35:01,2.0,0.28,0.0,0.0,0.65,0.0,0.0,164.5,0.9,0.14,180.3,0.91,0.16,0.0,0.0,26.0
2025-11-11 11:35:04,2.0,0.65,0.0,0.0,1.55,0.0,0.0,420.6,0.77,0.32,420.8,0.77,0.0,0.0,0.0,62.0
2025-11-11 11:35:06,2.0,0.05,0.0,0.0,-0.06,0.0,0.0,423.3,0.0,0.0,423.5,0.0,0.0,0.0,0.0,1.0
2025-11-11 11:35:07,2.0,0.0,0.0,0.0,0.04,0.0,0.0,423.3,0.0,0.0,423.5,0.0,0.0,0.0,0.0,2.0
2025-11-11 11:35:09,2.0,0.0,0.0,0.0,0.06,0.0,0.0,423.3,0.01,0.0,423.5,0.0,0.0,0.0,0.0,2.0
2025-11-11 11:35:11,2.0,0.0,0.0,0.0,-0.03,0.0,0.0,423.3,0.05,0.02,423.5,0.04,0.01,0.0,0.0,0.0
2025-11-11 11:35:13,2.0,0.0,0.0,0.0,-0.05,0.0,0.0,423.3,0.0,0.0,423.5,0.0,0.0,0.0,0.0,1.0
2025-11-11 11:35:14,2.0,0.01,0.0,0.0,-0.04,0.0,0.0,423.3,0.0,0.0,423.5,0.0,0.0,0.0,0.0,1.0
2025-11-11 11:35:16,2.0,0.03,0.0,0.0,0.01,0.0,0.0,423.3,0.0,0.0,423.5,0.0,0.0,0.0,0.0,1.0
2025-11-11 11:35:18,2.0,0.01,0.0,0.0,0.03,0.0,0.0,423.3,0.0,0.0,423.5,0.0,0.0,0.0,0.0,1.0
2025-11-11 11:35:20,2.0,0.0,0.0,0.0,0.0,0.0,0.0,423.3,0.02,0.01,423.5,0.05,0.02,0.0,0.0,2.0
2025-11-11 11:35:22,2.0,0.0,0.0,0.0,0.05,0.0,0.0,423.3,0.05,0.02,423.5,0.05,0.02,0.0,0.0,2.0
2025-11-11 11:35:23,2.0,0.0,0.0,0.0,0.0,0.0,0.0,423.3,0.03,0.01,423.5,0.05,0.02,0.0,0.0,0.0
2025-11-11 11:35:25,2.0,0.0,0.0,0.0,-0.04,0.0,0.0,423.3,0.0,0.0,423.5,0.0,0.0,0.0,0.0,1.0
2025-11-11 11:35:27,2.0,0.02,0.0,0.0,-0.05,0.0,0.0,423.3,0.0,0.0,423.5,0.0,0.0,0.0,0.0,0.0
2025-11-11 11:35:29,2.0,0.0,0.0,0.0,0.04,0.0,0.0,423.3,0.01,0.0,423.5,0.02,0.01,0.0,0.0,0.0
2025-11-11 11:35:30,2.0,0.0,0.0,0.0,-0.04,0.0,0.0,423.3,0.06,0.02,423.5,0.05,0.02,0.0,0.0,2.0
2025-11-11 11:35:32,2.0,0.0,0.0,0.0,-0.04,0.0,0.0,423.3,0.0,0.0,423.5,0.0,0.0,0.0,0.0,0.0
2025-11-11 11:35:34,2.0,0.03,0.0,0.0,0.21,0.0,0.0,425.1,0.0,0.0,424.90000000000003,0.0,0.0,0.0,0.0,0.0
2025-11-11 11:35:36,2.0,0.55,0.0,0.0,0.27,0.0,0.0,423.3,0.0,0.0,423.5,0.01,0.0,0.0,0.0,22.0
2025-11-11 11:35:37,2.0,-0.01,0.0,0.0,0.86,0.0,0.0,421.8,0.51,0.21,421.70000000000005,0.51,0.21,0.0,0.0,24.0
2025-11-11 11:35:39,2.0,0.34,0.0,0.0,0.0,0.0,0.0,426.3,0.0,0.0,426.6,0.01,0.0,0.0,0.0,14.0
2025-11-11 11:35:41,2.0,0.51,0.0,0.0,0.15,0.0,0.0,423.3,0.0,0.0,423.5,0.0,0.0,0.0,0.0,0.0
2025-11-11 11:35:43,2.0,-0.01,0.0,0.0,0.76,0.0,0.0,420.70000000000005,0.72,0.3,421.0,0.73,0.31,0.0,0.0,36.0
2025-11-11 11:35:45,2.0,-0.01,0.0,0.0,0.09,0.0,0.0,421.1,0.63,0.26,421.3,0.64,0.26,0.0,0.0,18.0
2025-11-11 11:35:46,2.0,0.36,0.0,0.0,-0.04,0.0,0.0,423.3,0.0,0.0,423.5,0.0,0.0,0.0,0.0,0.0
2025-11-11 11:35:48,2.0,-0.02,0.0,0.0,1.2,0.0,0.0,421.70000000000005,0.45,0.19,421.90000000000003,0.47000000000000003,0.19,0.0,0.0,0.0
2025-11-11 11:35:50,2.0,-0.01,0.0,0.0,0.21,0.0,0.0,421.1,0.59,0.25,421.40000000000003,0.62,0.26,0.0,0.0,35.0
2025-11-11 11:35:52,2.0,0.3,0.0,0.0,0.04,0.0,0.0,423.5,0.0,0.0,423.5,0.0,0.0,0.0,0.0,5.0
2025-11-11 11:35:54,2.0,-0.01,0.0,0.0,1.06,0.0,0.0,421.1,0.59,0.25,421.40000000000003,0.62,0.26,0.0,0.0,0.0
2025-11-11 11:35:56,2.0,-0.01,0.0,0.0,0.0,0.0,0.0,422.40000000000003,0.21,0.08,422.70000000000005,0.24,0.1,0.0,0.0,32.0
