timestamp,Inverter1_System State,Inverter1_Active Output Power [W],Inverter1_Reactive Output Power [kVAr],Inverter1_Apparent Output Power [kVA],Inverter1_Active PCC Power [W],Inverter1_Reactive PCC Power [kVAr],Inverter1_Apparent PCC Power [kVA],Inverter1_Voltage DC1 [V],Inverter1_Current DC1 [A],Inverter1_Power DC1 [W],Inverter1_Voltage DC2 [V],Inverter1_Current DC2 [A],Inverter1_Power DC2 [W],Inverter1_Charge/Discharge Power [kW],Inverter1_Battery SOC [%]
2025-11-10 14:15:11,2.0,0.44,-11.43,12.01,0.0,0.0,0.0,164.4,0.9,0.14,163.10000000000002,1.02,0.16,0.0,0.0
2025-11-10 14:15:13,2.0,7.0200000000000005,-4.74,8.82,0.0,0.0,0.0,714.4000000000001,13.44,9.6,714.2,13.35,9.53,0.0,0.0
2025-11-10 14:15:15,2.0,18.330000000000002,12.120000000000001,21.69,0.0,0.0,0.0,714.5,13.42,9.59,714.3000000000001,13.34,9.53,0.0,0.0
2025-11-10 14:15:16,2.0,18.330000000000002,12.120000000000001,21.68,0.0,0.0,0.0,714.5,13.41,9.58,714.3000000000001,13.35,9.53,0.0,0.0
2025-11-10 14:15:18,2.0,18.3,12.14,21.67,0.0,0.0,0.0,714.5,13.42,9.59,714.3000000000001,13.31,9.5,0.0,0.0
2025-11-10 14:15:19,2.0,18.27,12.14,21.64,0.0,0.0,0.0,714.6,13.38,9.56,714.4000000000001,13.290000000000001,9.49,0.0,0.0
2025-11-10 14:15:21,2.0,18.31,12.14,21.67,0.0,0.0,0.0,714.5,13.43,9.59,714.3000000000001,13.33,9.52,0.0,0.0
2025-11-10 14:15:23,2.0,18.3,12.13,21.67,0.0,0.0,0.0,714.5,13.41,9.58,714.4000000000001,13.33,9.52,0.0,0.0
2025-11-10 14:15:24,2.0,18.29,12.13,21.66,0.0,0.0,0.0,714.5,13.4,9.57,714.4000000000001,13.32,9.52,0.0,0.0
2025-11-10 14:15:26,2.0,18.26,12.13,21.63,0.0,0.0,0.0,714.6,13.39,9.57,714.4000000000001,13.31,9.51,0.0,0.0
2025-11-10 14:15:27,2.0,18.3,12.13,21.66,0.0,0.0,0.0,714.5,13.4,9.58,714.4000000000001,13.32,9.51,0.0,0.0
2025-11-10 14:15:29,2.0,18.330000000000002,12.14,21.69,0.0,0.0,0.0,714.4000000000001,13.450000000000001,9.61,714.2,13.33,9.52,0.0,0.0
2025-11-10 14:15:31,2.0,18.31,12.13,21.67,0.0,0.0,0.0,714.5,13.42,9.59,714.3000000000001,13.31,9.51,0.0,0.0
2025-11-10 14:15:33,2.0,18.34,12.13,21.69,0.0,0.0,0.0,714.4000000000001,13.44,9.6,714.3000000000001,13.34,9.53,0.0,0.0
2025-11-10 14:15:35,2.0,18.31,12.14,21.68,0.0,0.0,0.0,714.5,13.42,9.58,714.3000000000001,13.32,9.5,0.0,0.0
2025-11-10 14:15:36,2.0,18.34,12.14,21.7,0.0,0.0,0.0,714.4000000000001,13.450000000000001,9.61,714.2,13.36,9.540000000000001,0.0,0.0
2025-11-10 14:15:38,2.0,18.32,12.13,21.68,0.0,0.0,0.0,714.4000000000001,13.44,9.6,714.3000000000001,13.32,9.51,0.0,0.0
2025-11-10 14:15:39,2.0,18.35,12.14,21.7,0.0,0.0,0.0,714.4000000000001,13.450000000000001,9.61,714.2,13.36,9.540000000000001,0.0,0.0
2025-11-10 14:15:41,2.0,18.3,12.14,21.67,0.0,0.0,0.0,714.5,13.41,9.58,714.3000000000001,13.32,9.52,0.0,0.0
2025-11-10 14:15:42,2.0,18.28,12.13,21.650000000000002,0.0,0.0,0.0,714.6,13.4,9.57,714.4000000000001,13.3,9.5,0.0,0.0
